stack,sheet_label,condition,current_density_A_cm2,figure,curves
Stack1,Cell 15,6,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_6_0.3Acm2.png,2
Stack1,Cell 15,6,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_6_0.7Acm2.png,2
Stack1,Cell 15,6,1.0,results\figures\eis\by_condition\Stack1\Cell_15\condition_6_1Acm2.png,1
Stack1,Cell 15,7,0.3,results\figures\eis\by_condition\Stack1\Cell_15\condition_7_0.3Acm2.png,2
Stack1,Cell 15,7,0.7,results\figures\eis\by_condition\Stack1\Cell_15\condition_7_0.7Acm2.png,2
Stack1,Cell 15,7,1.0,results\figures\eis\by_condition\Stack1\Cell_15\condition_7_1Acm2.png,1
Stack1,Cell 20,1,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_1_0.3Acm2.png,7
Stack1,Cell 20,1,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_1_0.7Acm2.png,7
Stack1,Cell 20,1,1.0,results\figures\eis\by_condition\Stack1\Cell_20\condition_1_1Acm2.png,1
Stack1,Cell 20,2,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_2_0.3Acm2.png,2
Stack1,Cell 20,2,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_2_0.7Acm2.png,3
Stack1,Cell 20,2,1.0,results\figures\eis\by_condition\Stack1\Cell_20\condition_2_1Acm2.png,1
Stack1,Cell 20,3,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_3_0.3Acm2.png,2
Stack1,Cell 20,3,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_3_0.7Acm2.png,2
Stack1,Cell 20,3B,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_3B_0.7Acm2.png,1
Stack1,Cell 20,4,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_4_0.3Acm2.png,1
Stack1,Cell 20,4,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_4_0.7Acm2.png,1
Stack1,Cell 20,5,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_5_0.3Acm2.png,2
Stack1,Cell 20,5,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_5_0.7Acm2.png,2
Stack1,Cell 20,6,0.3,results\figures\eis\by_condition\Stack1\Cell_20\condition_6_0.3Acm2.png,2
Stack1,Cell 20,6,0.7,results\figures\eis\by_condition\Stack1\Cell_20\condition_6_0.7Acm2.png,2
