stack,cycle_label,cycles,condition,current_density_A_cm2,file,sheet,sheet_label,fit_status,split_z_re_ohm,R_ohm_ohm,R_anode_ct_ohm,R_cathode_ct_ohm,R_total_fit_ohm,anode_fit_rmse,cathode_fit_rmse,anode_center_x,anode_center_y,anode_radius,cathode_center_x,cathode_center_y,cathode_radius,figure
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet3,Cell 03,ok,0.00030821,0.0001635976620695116,0.00013295995065853744,0.0014808593756600278,0.0016138193263185653,2.2786361717245984e-05,1.2107121247716366e-05,0.00023007763739878032,-4.4294173411578133e-05,7.988467260992645e-05,0.0010716380633671752,-0.00028131104845357456,0.0007920681969389386,results\figures\eis_fits\Stack1\Cell_03\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet4,Cell 05,ok,0.00034416,0.00023775172713602784,0.00010468534843428994,0.0014502419372933056,0.0015549272857275954,1.0026740943214775e-05,1.560315647391795e-05,0.00029009440135317283,-4.016879611735678e-06,5.2496579564933094e-05,0.001080905512066193,-0.0002455973027388756,0.0007655837343384922,results\figures\eis_fits\Stack1\Cell_05\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet5,Cell 10,ok,0.00033347,0.00015890581408078492,0.0001651442214899896,0.0014787125627374231,0.0016438567842274128,1.304414285793549e-05,1.2819214748476289e-05,0.0002414779248257797,-4.1359300024366244e-07,8.257314655536348e-05,0.0010863413962666725,-0.0002637377463257289,0.0007849874582669101,results\figures\eis_fits\Stack1\Cell_10\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet6,Cell 15,ok,0.00051995,0.0003291870957052806,0.00029880163137794034,0.0014121126847483681,0.0017109143161263085,2.689910979899317e-05,9.154324602235349e-06,0.00047858791139425075,2.7457197480873022e-05,0.00015190293421140125,0.0010989652553015773,-0.00020540086072025446,0.0007353265072003269,results\figures\eis_fits\Stack1\Cell_15\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet7,Cell 20,ok,0.00035079,0.0002763229934814146,0.00011008050969004707,0.0014693783419422852,0.0015794588516323323,1.5909788706996482e-05,1.735524488499515e-05,0.0003313632483264381,-3.818241463616578e-05,6.698750958837942e-05,0.0010972298069234301,-0.0002313501973461349,0.0007702539138195666,results\figures\eis_fits\Stack1\Cell_20\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet8,Cell 22,ok,0.00031975,5.181523746284139e-05,0.00025945675094412034,0.0015121114315155212,0.0017715681824596416,2.122603388004197e-05,1.5495829733614003e-05,0.00018154361293490156,-8.626124812021604e-05,0.0001557897760762153,0.0010948834526056735,-0.0003062366704252396,0.0008157212413828124,results\figures\eis_fits\Stack1\Cell_22\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.3,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_3.xlsx,Sheet9,Cell 24,ok,0.00040189,0.0003042836448571253,0.0002591984932026613,0.0012975238917374598,0.001556722384940121,2.0856646897339032e-05,2.630904879308836e-05,0.00043388289145845595,-6.4178887238536e-05,0.00014461982674173425,0.0010612487911352438,-0.00012898550441222385,0.0006614599933146801,results\figures\eis_fits\Stack1\Cell_24\0.3Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_3.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet1,Whole Stack,ok,0.01245,0.0,0.014862429573035319,0.03014715372103625,0.04500958329407157,0.00048256671098293835,0.0013495887600992384,0.004834049030980525,0.0079780897986994,0.007431214786517659,0.0249547102638248,-0.006774657140468177,0.016526000688032297,results\figures\eis_fits\Stack1\Whole_Stack\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet2,Cell 01,ok,0.00081399,0.0003087686365053951,0.0010430471829270406,0.0010161087343695653,0.002059155917296606,1.3615074758989305e-05,3.972808680131413e-05,0.0008302922279689154,-0.00022057332200474134,0.0005662503393669765,0.001163123956415232,0.0008111320359382241,0.0005080543671847827,results\figures\eis_fits\Stack1\Cell_01\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
Stack1,0_AfterBreakIn,0,2,0.7,data\Stack1\EIS\0_AfterBreakIn\Real_Ageing_EIS-2-0_7.xlsx,Sheet3,Cell 03,ok,0.00039577,0.00031628032350648197,0.0002028691345175796,0.0014424522872458923,0.001645321421763472,1.0197860175922318e-05,3.118309321126781e-05,0.0004177148907652718,-9.449724683417687e-06,0.00010187378824589938,0.0010264481060824656,-0.00048571103271452336,0.0008695299635698791,results\figures\eis_fits\Stack1\Cell_03\0.7Acm2\0_AfterBreakIn_condition_2_Real_Ageing_EIS-2-0_7.png
