stack,cycle_label,cycles,file,Cmon_Current (A/cm^2),Cell1 (mV),Cell10 (mV),Cell15 (mV),Cell24 (mV),Minimum_Voltage (mV),Average_Voltage (mV),Maximum_Voltage (mV)
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.29921282051282,740.160330578513,746.120661157025,744.867768595041,739.322314049587,738.773553719008,743.713223140496,748.252892561984
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.399247700784064,716.137190082645,719.429752066116,717.652892561984,713.343801652893,711.806611570248,717.404132231405,722.277685950413
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.498841538461539,695.398347107438,698.72396694215,700.213223140496,695.963636363637,693.135537190082,698.834710743802,703.709090909091
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.598951282051283,675.626446280991,680.347107438017,682.284297520662,678.323966942148,673.231404958678,679.272727272727,684.485950413223
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.699258461538463,654.725619834711,660.576859504132,664.778512396694,659.687603305785,654.446280991736,660.804958677686,666.618181818182
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.799368717948716,633.953719008265,640.970247933885,646.323966942148,640.813223140496,633.867768595041,642.381818181818,648.565289256198
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.899544615384615,615.714049586778,622.33388429752,625.771900826447,620.760330578512,615.107438016529,623.085123966942,631.581818181818
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,0.998536923076925,596.280991735537,602.305785123967,605.796694214876,600.242975206612,595.171900826447,603.704958677686,612.100826446282
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.0994358974359,572.876033057852,580.522314049587,581.35867768595,576.899173553719,572.803305785124,582.390909090909,592.639669421488
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.19967743589743,552.414876033058,559.238016528926,558.059504132231,551.418181818182,548.350413223141,559.303305785124,570.553719008264
Stack1,0_BreakIn,0,data\Realistic accelerated stress tests for PEM fuel cells Test procedure development based on standardized automotive driving cycles\Stack1\PolCurves\RealAgeing_PC_0_BreakIn_1.xlsx,1.29926153846154,529.17520661157,532.009917355372,531.484297520662,522.771900826446,521.332231404958,533.712396694215,546.505785123967
